OutcomeCategory,Business Outcome,IT Outcome,Key Performance Indicator(s),Domain,Capability,Use Case,Use Case Description,Products,Originator,Country,Customer,Delivered?,Outcome Category,Sector,Item Type,Path
Improve Quality,"Name: Improving corporate trust.

Description: Improved quality and availability of services used by end user supported the management vision resulting in better customer experience and revenue growth.

Value: Reduces critical service unavailability [xx%]","Name: Improved opportunities to conduct testing with testing tools.

Description: Drive application of the performance testing methodology to all core applications as part of end-to-end application quality control.

Value: Improve test coverage for all applications with performance testing tools [90%]",Improve % deployment of new requirements success rate,Continuous Integration,Test Management,Improve application deployment,"As the Test Manager

I want to improve the quality and performance of our testing capability by establishing a Test Centre of Excellence.

So that I can improve the quality and performance of application deployment and improve business performance",Cross Portfolio,Hiroshi Nakai,JAPAN,JR East Information Systems Company,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Business Alignment,"Improve Service Quality, reliability and functionality thus improving customer experience and producibility. ","- Lifecycle management of IT landscape guaranteed whiles reducing manual labour to do so. 
- Maximize the value of technology investment by leveraging all functionalities from the latest releases. 
- Supporting Enterprise Architecture strategies (like Cloud First strategies). 
- Make sure employees can spend more time on managing services instead of upgrading the service management platform. ",Improve % Service Quality; Reduce % of Risks,Continuous Planning,Enterprise Architecture,Maintain capable IT landscape,"As a CIO 

I want to assure my IT landscape is always up-to-date, compliant, consolidated in one single platform, with the latest technology and applications capabilities

So that I: 
- reduce the cost for extra support and maintenance (reducing the number of tools);
- always leverage the latest capabilities and functionalities to provide better services and outcomes for my customers;
- maintain device compliance, thus avoiding unexpected outages; reducing my MTTI and MTBF
- maintain software compliance reducing performance and security issues 
- improve availability and complex integrations",Cross Portfolio,Several,CROSS CMT,#NAME?,Project,"- Improve Quality, 
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality," Reduce penalties, brand damage and high support cost ","Consolidation of software assets in a more cost-effective and streamlined process. Centralized asset management information into one technology improving asset management across the company, resulting better compliance with contracts and better stewardship of assets",Reduce TCO by 10%; Improve % effectiveness of Asset Management,Continuous Operations,Asset Management,Improve asset management capabilities,"As a VP of Operations 

I want all of the company's information about our assets to be efficiently and cost effectively managed from one single point of truth, 

so that I can track our assets from cradle to grave, assure those assets return value, track and report the value and ownership of capital assets throughout their lifecycle, be compliant with contracts and reduce the risks for fines and brand damage",SMAX,Roisin Jordan,NSE,Achmea,Project,#NAME?,Insurance,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost",Customer satisfaction by faster delivery times,"Improved data quality by automated administration
Same outcome every time
Better SLA achievements
More effective use of specialized employees
Show data in Self Service forms from authorized trusted external data sources
Transforming manual to automated processes, small step by small step, modular
Transparency in fulfilment progress of tickets
Same outcome every time
Automation through Self Service",#NAME?,Continuous Operations,Fulfilment Orchestration,Improve Service Request fulfilment,"As Service Delivery Manager

I want a transparent, standardized and efficient capability to (orchestrate) the fulfilment of service requests

So that requests will be fulfilled faster, better and safer, improving our service delivery practices while reducing costs",SMAX,"- Cas van Voorthuizen, 
- Elwin de Zwaan",NSE,Dutch Police,Project,"- Improve Quality, 
- Reduce Cost",Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Business Alignment","Reduce turnaround time and cost of provisioning applications, and access to applications to users.",Reduce time required to add an application or access to an application to an existing automation that provisions this service.,"- Improve % Customer satisfaction and  retention
- Improve MTTF",Consume,Service Catalogue and Offer Management,Improve Offer Management,"As the Service Catalogue Manager

I want a capability that provides access to catalogue items fast and safe after applications have been deployed

so that customers can find / consume these new applications almost immediately when it comes available, improving business performance and customer experience",SM9,#NAME?,ANZ,Australian Defence,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Improve the effectiveness of business processes through the consumption of the right content at the right time, improving customer experience, improve profits","Improve the quality of content management in a consolidated platform with functionalities such as high-speed search, automatic analysis, categorization, and effective consumption. ",Improve % consumption of quality content,Continuous Insight,Consumption Usage,Improve Content Quality,"As an IT director 

I want a high quality content management capability, capable of the efficient and effective lifecycle management of content and data and all other necessary content management functionalities such as search, publish, edit and secure

so that our customers can consume, edit and secure their important (business) content, improving the effectiveness of their business processes ",IDOL,Stephane Caranobe,GALLIA,Thales,Project,"- Improve Quality, 
- Reduce Risks",Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Improve Quality","Name: Reduce Real State cost, reduce/relocate 

Data Centres Description: Address a reduction of the Real State cost by consolidating, relocating or moving active assets in the Data Centres to the Cloud 

Value: Reduce Cost of Operation, according to plan, without Business Disruption","Name: Improve Datacentre Transformation 

Address Data Centre Transformation challenges by bringing a data-driven, intelligence-based approach to yield Data Centre Migration Analysis (Migration Move Group Analysis, Application Migration Assessment, Server Utilization Assessment). Fast buildup of DC topology. Application Assessment faster, less expensive and with less risk. Identify/decommission Zombies (unused servers/devices). Identify ungoverned (shadow) IT.

Value: 
? 400% ROI (Return on Investment) after 3 months 
? Savings by retiring or consolidating servers (43 Zombie servers identified for decommissioning & consolidation) 
? 85% faster DC migration application assessment at 50% of the direct cost with 90% less error 
? Saving in DC migration budget 
? 50% cheaper application assessment",Reduce $ TCO,Continuous Operations,Resource Management,Improve Datacentre Migration (to the Cloud),"As a Chief Technology Officer 

I want to execute effective DC migrations (On-Premise, Public/Private Clouds), moving the active assets (not ghosts and obsolete assets) while reducing risk and without business impact 

so that I effectively reduce TCO (real estate, infrastructure components and support), while continue to deliver high quality (IT) services",SDCA,Raul Montoya,NSE,DXC,Project,#NAME?,Energy,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Improve (IT) Service Assurance
Description: Enable the business to have better reliability / availability of services, thus improving the productivity of the business and grow revenue 
Value: Ensure critical IT services are available and performing","Name: Improved Service Quality and Assurance 

Description: Prescriptive framework, demonstrating the value, to realize AIOPs benefits. 

Value: Improve IT Operation by reducing the number of events and automating the resolution of incidents","- 25-30% event reduction out-of-the-box, 
- 80% fewer Priority-1 incidents, 
- 94% automated resolution, 
- 50% faster MTTR",Continuous Operations,Event Management,Improve Service Monitoring,"As a VP of OPS 

I want to identify and monitor all aspects of infrastructure components for critical IT services, providing better visibility

So that IT can assured the service health by understanding their availability and reliability and because of that can - proactively - minimize service disruptions and resolve issues faster when they occur.",OPSB,"- Pablo Macaya, 
- Bienve Valencia, 
- Raul Montoya",NSE,Yapi Kredi,Project,Improve Quality,Construction,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Reduced applications downtime

Description: Reducing the occurrence and duration of business service outages, thereby improving customer productivity and experience

Value: Increased productivity and experience
","Name: Eliminate inaccuracy of CMS 

Description: Automated orchestration of NNM and OBM with an external customer network inventory to update the configuration management data and the monitoring scope aligned to changes in the network. Reduce the operational cost of the network and prioritize quality of critical business services.  Optimize Value Streams and Processes: Optimize continues operation value stream and change management process, thus improving Service Deployment

Value: updated CMS and monitoring scope, eliminating Blind Spots, reduce TCO and OPEX","- % of CMS Coverage and completeness 
- % Accuracy of CMDB / Asset Management information (increase) 
- % of improve efficiency / effectiveness in Change Management",Continuous Operations,Configuration Management,One Single Source of Truth (CS),"As Configuration manager, 

I want to have an automatic discovery of all network CI's and their attributes in my entire network, stored in a single source of truth (CMS), keeping my network topology and service models up to date

so that this information can be leveraged in the service management platform for Functions like change impact analysis as well as asset verification , and I can eliminate blind spots, keep monitoring the complete infrastructure and unplanned downtime of my (business services) .",uCMDB,#NAME?,INDIA,HCL-Tech,Project,"- Improve Quality, 
- Reduce Risks",Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks","Name: Reduced applications downtime

Description: Reducing the occurrence and duration of business service outages, thereby improving customer productivity and experience

Value: Increased productivity and experience
","Name: Eliminate inaccuracy of CMS 

Description: Automated orchestration of NNM and OBM with an external customer network inventory to update the configuration management data and the monitoring scope aligned to changes in the network. Reduce the operational cost of the network and prioritize quality of critical business services. 

Value: updated CMS and monitoring scope, eliminating Blind Spots, reduce TCO and OPEX",Reduce % OPEX,Continuous Operations,Configuration Management,Improve Network Service Modelling Orchestration,"As a Network Operation Manager 

I want a network configuration management capability including a functionality to automatically update the monitoring scope of my network devices and services when they Configuration Items (CI) are dynamically added to or removed from my infrastructure

So that I can keep my network topology and service models up to date, eliminate blind spots, keep monitoring the complete infrastructure and unplanned downtime of my (business services) .",NOM,Victor San Martin,NSE,Telefonica,Project,"- Improve Quality, 
- Reduce Risks",Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Improve Risk Management and Compliance

Description: Ensure business continuity and reduce or eliminate security risks

Value: Increased Business Continuity and Risk Mitigation","Name: Improve Service Delivery

Description: Drive higher compliance and follow standard server security practices across.

Value: Improved Compliance, Higher MTBF due to configuration drifts","- Reduced security risks, 
- Reduced Cost to Maintain",Continuous Operations,Security Management,Infrastructure Audit & Remediation,"As IT Operations Manager

I want to automate audit and remediation of servers, ensuring there are no unknown changes in server configurations 

so that I can reduce impacts to availability and security risks of infrastructure and therefore business services.",DCA,#NAME?,AMS,Bell Canada,Project,Improve Quality,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Improve Quality","Name: Help delivering efficiency targets.

Description: Deliver its efficiency targets, keeping flight delays and environmental impact to a minimum whilst supporting aviation growth.","Name: Improve operational efficiency of ATC systems
Description: Deploy and maintain monitoring capabilities that assure that Network Management (for the Air traffic Control Systems) can analyse issues with that network across Europe and execute standard recovery actions faster, keeping highly critical applications available and operational so it can perform the functions that are needed by Air Traffic Controllers on the airports.",MTBSI; MTTR; ,Continuous Operations,Event Management,Monitor ATC Systems,"As the Central Flow Management Unit Manager

I want to consolidate information and alerts from the distributed ATC network systems in one dashboard, assuring that my operators can respond to the alerts with automated Standard Operating Procedures

so that the system used by Air Traffic Control Towers across Europe are available and reliable supporting the work that needs to be done by Air Traffic Controllers on the airports",OPSB,Milen Metodiev,GALLIA,EUROCONTROL,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Improve Risks","Name: Improve Service Availability
Description: Improve the reliability and availability of (business services) which results in improved customer experience and higher productivity
Value: Improve MTBSI by [%]","E2E Quality Control, driving the performance testing methodology and quality gate for all core applications through a standard process for all the stakeholders in performance testing activities. ",Improve % MTBSI,Continuous Integration,Test Management,Improve Performance Testing,"As the Quality Manager

I want our applications to be reliable and scalable, avoiding performance issues through thorough performance testing practices

So that we can provide confidence to our customers which improves their experience and satisfaction",Load Runner,Sunanda K Rout,INDIA,#NAME?,Project,#NAME?,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,"- Manage and optimize investment on software licenses (reduce overspend);
- Mitigate risks of breach of software license compliance and associated penalty.","Dashboards and on-demand generation of software compliance reports, showing licenses consumed and consolidated compliance to help in 

Centralized asset management information into one technology improving asset management across the company, resulting better compliance with contracts and better stewardship of assets.

- Better utilization of purchased licenses 
- Reduce cost of software licenses purchased 
- Individual software compliance (for specific version) 
- Consolidated software compliance (overall) 
- Avoid penalty by OEM software publishers 
- Manage software license contracts, notifications before license expiry.","- Improve % of license consumption; 
- Reduce TCO",Continuous Compliance,Asset Management,Optimize License Consumption,"As the ASSET MANAGER, 

I want to monitor our license consumption again the contractual allowance

So that I can improve utilization of licenses and remain compliant”",AMX,Ranjan Bhattacharya,INDIA,Bank of Baroda,Project,Reduce Cost,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Grow Revenues,"Improve Service Quality and Performance, resulting in improving the business performance; grow revenue","Optimized Service Level Management practice, focused on improving the SLA with our customers and OLA or contracts with our suppliers, improving the performance of both SLA's and OLA's achieving:
- Business and Service strategy alignment 
- Better Management of Supplier/vendor Performance 
- Ability to Prioritize the incidents based on defined multiple criterion","- Improve the # of SLA's that meet the target SLO; 
- Improve % and $ effectiveness of suppliers (OLA's and UC effectiveness)",Continuous Operations,Service Level Management,Improve SLA achievements,"As the Service Level Manager

I want to measure my service level objectives (documented in my SLA) with regards to the performance of the Incident Management practice (example: MTTR, MTBSI)

So that I can manage and improve my operational level agreements for each department, location and vendors effectively, resulting in better SLA achievement and better service quality ",SMAX,Praveen Viswanath,INDIA,Comviva,Project,Grow Revenues,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Name: Shorter Time to Market:
Description: Improve the time it takes to deploy new or changed business applications, leveraging new / required functionalities to improve business processes","Improving the testing practice through service virtualization giving the following benefits:
- Improved Release Velocity. 
- Reduce cost of overall development. 
- Efficiency improvement by reducing dependencies","- % Increased output / productivity of development 
- % deployment of new requirements success rate",Continuous Integration,Test Management,Improve Testing Performance [through service virtualization],"As the VP of APPS

I want to virtualize service components that simulate environments for testing, enabling faster development and testing cycles

So that collaboration within development teams ensures seamless integration of all components, testing the final product as a whole, improving release velocity while reducing costs ",SV,Sunanda Kumar Rout,INDIA,#NAME?,Project,Improve Quality,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,Higher availability / reliability of (business) applications and thus business processes improving revenue growth ,"Name: Improve [IT] Service Delivery
Description: Improve situational awareness of service health and threat / vulnerability alerting by the improvement of observability through the connection of key metrics from different OEM tools and Network Link Monitoring, making it possible to respond to alerts that provide information of the reduction of service health.
Value: % availability / performance improved for monitored service",TBD,Continuous Operations,Service Monitoring,Single Pain of Glass,"As the Service Assurance Manager

I want a Single Pane of Glass integrating all real-time information and knowledge about the health of the service into one dashboard 

So that I can respond proactively to alerts that jeopardize the availability, reliability and performance of that service",OPSB,Puran Singh,INDIA,Karnataka State Data Centre,Project,Improve Quality,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,Higher availability / reliability of (business) applications and thus business processes improving revenue growth ,"Name: Improve [IT] Service Delivery
Description: Improve situational awareness of service health and threat / vulnerability alerting by the improvement of observability through the connection of key metrics from different OEM tools and Network Link Monitoring, making it possible to respond to alerts that provide information of the reduction of service health.
Value: % availability / performance improved for monitored service",#NAME?,Continuous Operations,Service Monitoring,Single Pain of Glass,"As the Service Assurance Manager

I want a Single Pane of Glass integrating all real-time information and knowledge about the health of the service into one dashboard 

So that I can respond proactively to alerts that jeopardize the availability, reliability and performance of that service",OPSB,Puran Singh,INDIA,Wipro Nestle,Project,Improve Quality,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,Higher availability / reliability of (business) applications and thus business processes improving revenue growth ,"Name: Improve [IT] Service Delivery
Description: Improve situational awareness of service health and threat / vulnerability alerting by the improvement of observability through the connection of key metrics from different OEM tools and Network Link Monitoring, making it possible to respond to alerts that provide information of the reduction of service health.
Value: % availability / performance improved for monitored service",#NAME?,Continuous Operations,Service Monitoring,Single Pain of Glass,"As the IT Operations Manager

I want a Single Pane of Glass integrating all real-time information and knowledge about the health of the service into one dashboard 

So that I can respond proactively to alerts that jeopardize the availability, reliability and performance of that service",OPSB,#NAME?,AMS,Citibank,Project,Improve Quality,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Risks,"Name: Improved Risk Management

Description: Ensure business continuity by reducing security risk by avoiding credentials being stored on different systems and applications.

Value: TBA","Name: Improve Security Management

Description: Centralized Accounts and Password management minimizing security risks due to credentials stored on different applications and ability to change passwords or access control in one system ensuring reduced downtime and effort.

Value: Improved credentials management and reduced security risk",#NAME?,Continuous Compliance,Security Management,Improve Password Protection,"As Security Manager

I want to improve Password Protection by ensuring passwords are not stored locally on the application and I can manage them centrally and also by reduce the effort to change the password thus motivating users to change them as per company policy

So that I can ensure business continuity by reducing security risk ",OPSB,#NAME?,AMS,Citibank,Project,Reduce Risk,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Higher productivity regardless of the location of the employees, higher employee experience","Restore service interruption / degradation as fast as possible, ",Improve MTTR,Continuous Operations,Incident Management,Improve Incident Resolution on Remote Locations,"As the Delivery Manager

I want a capability for my support staff to restore the service as quickly as possible for employees in remote locations without having to travel there, resulting in an improved MTTR experience

So that my customers can improve productivity and I can improve customer experience and the company can safe costs ",SMAX,Suresh VK,INDIA,Cochin Shipyard,Project,Improve Quality,Manufactory,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,Higher reliability and availability of critical business services resulting in higher productivity and higher profits ,"Reliable Change Management Process, managing risks better, preventing outages and unplanned downtime, delivering new or changed services on time in full",#NAME?,Continuous Operations,Change Management,Improve Risks Avoidance,"As a Change Manager

I want to automate and improve the impact and risk analysis of all change requests, based on predefined known parameters which will result in assigning a predefines change planning depending on the level of risk and impact

So that we reduce the change of risks to happen, reduce the unpanned downtime of critic business services, improve productivity and thus profits
",SMAX,India Delivery Team,INDIA,Societe General ,Project,Improve Quality,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Cost","Name: Ensure continuation of security of access 

Description: Ensure security of physical and remote access to facilities and infrastructure (to facilitate the remote work of the employees) of employees/contractors, maintain existing GISS security process without increasing cost

Value: TBD","Name: Compliance and Data Security

Description: Facilitate corporate access to workers without an incremental expense to change existing cards and  Improve security of physical and remote access to facilities and infrastructure (to facilitate the remote work of the employees) of employees/contractors

Value: All employees access through approved methods. Reduce incidents associated to security access by 20%",TBD,Continuous Operations,Identity Management,Maintain Security Access,"As a Chief Security Office

I want a flexible mechanism to validate the identity of users using their company cards that does not only work with certificates, but also supports a (custom) Serial ID.

So that we can keep using the existing company cards for user authentication instead of changing them all",NetIQ,Elena Terol Caturla,NSE,GISS,Project,#NAME?,Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks, Reduce Cost","Name: Improve Network Reliability 

Description: reduce risks to and improve quality of critical business services. 

Value: TBA","Name: Reduce the operational cost of the corporate network 

Description: reduce the operational cost of the network and prioritize quality of critical business services, automated orchestration of NNM and OBM with an external customer network inventory to deploy changes in the monitoring system associated to changes in the network

Value: Reduction of 1FTE. Improve prioritization of network events based on business impact., Zero manual changes in the NOC (automated changes per day 20).  ",#NAME?,Continuous Operations,Service Monitoring,Automated Network Inventory Orchestration,"As a Network Operation Manager    

I want to leverage my dynamic network inventory and automatically update the monitoring of my network devices and services, applying the changes (new devices, configuration changes or device disposals) to my monitoring system, without disruption, 

So that I can keep my network topology and services up to date and reduce blind spots that otherwise would not be monitored, improving the availability and reliability of the network",NOM,Victor San Martin,NSE,Telefonica,Project,#NAME?,,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks, Reduce Cost","Improve the competitive position and grow the business (more customers), improve customer satisfaction (retain customers)","Name: Optimize the IT services delivered

Description: Automate IT infrastructure discovery, improve event management, improve incident management, implement reporting tools and patch management processes. Ensure cost-effective, non-stop services to end customers (as a Managed Service Provider).

Value: Reduce overall manual tasks and increase the IT management control ","- Improve MTTF
- reduce  MTTR
- Improve MTBF
- Improve #SLAs targets met",Continuous Operations,Service Level Management,Improve Process Management,"As a VP of IT Operations

I want  to control my infrastructure, the delivery of services and operate more efficiently

So that I can reduce manual tasks, improve visibility, and reduce the overall cost of operation of my customer’s services",Cross Portfolio,Bienve Valencia,NSE,Cellnex,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks, Business Alignment","Improve the quality of the deployed digital interfaces, delivering what the customer had required, thus to improve business performance and customer satisfaction","Name: Improve Requirements Management and Compliance.

Description: Centrally manage complex requirements, defects and tests throughout the project lifecycle. Removing silos and embracing collaboration features, and integration with standardized business applications.  Ensure Regulatory Compliance with Defence guidelines through centralised and standardised methodology, to ensure an effective audit trail across the estate.  
Value: Provide clear presentation and traceability, whilst capturing and managing all User and Systems Requirements to a standard which will scale across the wider Defence estate.

Value: TBD","- Improve % deployment of new requirements success rate
- Improve % Requirement Coverage Ratio
- Improve % Feature Sentiment",Continuous Planning,Requirement Management,Improve Requirements Management Compliance,"As the Product Manager

I want a capability that captures all information with regards to a requirement artifacts such as test results, defects and deployment / release record conform to standardized practice with centralised visibility


So that I can nd track the lifecycle of a requirement from initiation till deployment (in production) and strengthen compliance for Requirements Management",Dimensions RM,Barry Sloan,UK&I,Large European Defence Customer,Project,"- Improve Quality, 
- Reduce Risks, 
- Business Alignment",Government,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Risks,"Name: Achieve DORA compliance

Description: Achieve the Digital Operational Resilience Act (DORA) compliance following Government regulation of communication technology (ICT) risk management thus improve business insight & Impact.

Value: Compliance failure can result in substantial punitive measures","Improve Service Insight 

Provide business impact, improve Service Insight through automated service modelling, including maintenance and delta processes. ",#NAME?,Continuous Compliance,Configuration Management,Improve Service Assurance,"As the Chief Compliance Officer

I want to demonstrate the understanding of impacts of defects, incidents, problems and changes by improving the visibility of my core banking services configuration through automated service modelling

So that I can achieve Digital Operational Resilience Act (DORA) compliance and avoid substantial punitive measures.",uCMDB/UD,Tim Wade,UK&I,PTSB,Project,Reduce Risks,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Risks",Reduce fines and reduce brand damage,"Leverage the existing Solution and Resources, Compliance to Company IT Security practices and compliance to Product Maintenance",Improved # of successful audits,Continuous Compliance,Policy Management,Align compliance to regulations ,"As a CIO, 

I want to stay compliant with government regulations 

so that I can reduce fines and prevent reputational damage",DCA,Asrul Muan,Singapore,Overseas Chinese Banking Corporation,Project,"- Business Alignment, 
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Reduce Risks",Protect the company reputation,"Visibility of PII data and governance of the information

Align to regulatory requirements (PDPA and GDPR)  ","- Reduce the % of security risks 
- Reduce the % of cyber risks 
- Improve the # of predictive and proactive responses to potential cyber risks",Continuous Compliance,Risk Management,Implement PII scanning and data leak protection,"As a CISO, 

I want to encrypt PII data 

so that I can comply to regulatory requirement and manage the risk to the business ",Voltage,Trishten Tan,Singapore,Synapxe,Project,"- Business Alignment, 
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risks",Protect the company reputation,"Automate the vulnerability detection and remediation

Streamline the security compliance process and reduce risks","- Improve numbers of responses to potential cyber risks
- Reduced % of security risks
- Improve the percentage of productivity",Continuous Compliance,Security Management,Improve CIS Compliance,"As the CISO, 

I want a practice that identifies security vulnerabilities proactive and then takes the right actions to comply to industry standard  

so that I can reduce the security risks and reduce the reputational damage.",DCA,Asrul Muan,Singapore,Singapore Pools,Project,"- Improve Quality, 
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Improve Quality, Reduce Risks","Creating a capability to optimize their content that the business in depending on, thus improving business processes / practices, reduces business risk and providing quality .","NatWest have many independent systems to store records and metadata about multiple. By using a core SQL Master Database, AutoSys, Structured Data Manager and Content Manager, along with many custom tools, they are now findings, managing and clearing old record.",- Reduce the MTTF [ to search and provide the right content),Continuous Insight,Data Protection,Improve Content Management,"As the CIO

I want a central capability that manages content in multiple systems across the company in a single source of truth, automating majority of business tasks to perform lifecycle management on all content 

so that our organization manages content that can be consumed by our stakeholders, while reducing risk and stay compliant",Content Manager,Carl Sumner,UK&I,National Westminster Bank Plc.,Project,"- Business Alignment, 
- Improve Quality
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Business Alignment, Grow Revenue, Reduce Risks",information to consume,"Standardize of Notification Platform and increase notification reliability

Improve Service Reliability and Reduce Service Downtime",Reduce percentage of undelivered notifications,Continuous Operations,Event Management,Improve Notification Effectiveness,"As an Operations Manager, 

I want an effective notification system that delivers all required notifications to the right audience reducing the undelivered notifications 

so that the operators can react to the event on time and reduced the unplanned downtime",OPSB,Asrul Muan,Singapore,Banking Computer Services,Project,"- Business Alignment, 
- Grow Revenue
- Reduce Risks",Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Improve Quality,"Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve the routing of events to the right resolver groups thus improving the time outages are recovered by automating the routing based on predefined parameters in both OBS and SMAX,Improve MTTR,Continuous Operations,Incident Management,Improve Incident Routing [to the right resolver groups],"As the Incident Manager 

I want to associate events and incidents with existing topology related to business services (Service Model) and support groups 

so, I can automatically route events / incidents to the right resolver group faster, better and safe",Cross Portfolio,Vekatesha M S,INDIA,State Bank of Mauritius,Project,Improve Quality,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Business Alignment","Reducing the effort for customers to search and order products and services they need will increase productivity and customer satisfaction, thus retention
","Having a capability to order / consume all products and services in a unified and aggregated service catalogue (portal) and therefore establish a simple way for all customers to search and order products and services, greatly improves customer experience and also leads to a reduction in administrational effort an employee has to invest in the fulfilment of orders. This also reduce manual efforts in maintaining several input channels for ordering different products and services.  ","- Improve % Customer satisfaction and  retention
- Improve MTTF",Consume,Consumption Experience Management,Improve search / order products and services,"As the Service Catalogue Manager 

I want a capability where my customers can order products or services from one single aggregated Service Catalogue (Portal) without forcing them to switch between several Service Catalogues for certain products or services

So that I can improve the experience for customers with regards to searching and ordering products and services, therefore improve their productivity and satisfaction",SMAX,Julia Schubert,DACH,Austrian Airlines,Project,"- Improve Quality, 
- Business Alignment",Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Business Alignment","Easy to consume and faster, Automated Service Request Management leads to better service quality, higher performance, better customer experience and higher profits",Efficient Service Request Management practices reduce cost and allow support groups to more efficiently fulfil service and support requests in the meantime improve the work agents do from low value task to high value tasks.,Improve MTTF,Consume,Request Fulfilment,Fulfil Service Request efficient and effective,"As the Service Delivery Manager 

I want automated request management workflows that streamlined requests, approval, orchestration and fulfilment practices across all service providers, 

so that services requests will be fulfilled more efficiently thus improving availability, business performance, customer effort (to do business with IT) and end user satisfaction. ",OO,Julia Schubert,DACH,Austrian Airlines,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
